time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002074,-0.0749,0.2446,-0.0735,0.266
0.007413,0.0236,0.1625,-0.0450,0.170
0.016663,-0.0004,0.1349,-0.0572,0.147
0.027039,-0.0243,0.1345,-0.0551,0.147
0.040138,-0.0082,0.1613,-0.0522,0.170
0.046469,0.0616,0.2154,-0.0214,0.225
0.058104,0.1037,0.2286,-0.0445,0.255
0.066921,0.0639,0.1601,-0.0399,0.177
0.076725,0.0240,0.2006,-0.0216,0.203
0.088980,-0.0158,0.2138,-0.0307,0.217
0.105897,0.0265,0.1859,-0.0632,0.198
0.115245,-0.0143,0.1175,-0.0730,0.139
0.127709,0.0398,0.1173,-0.1238,0.175
0.136985,0.1071,0.1170,-0.1743,0.236
0.145777,0.1056,0.1305,-0.1697,0.239
0.159412,0.1303,0.1439,-0.1371,0.238
0.165253,0.1271,0.1574,-0.0900,0.221
0.182008,0.1099,0.1571,-0.0967,0.215
0.192854,0.0112,0.2113,-0.1026,0.235
0.198983,-0.0326,0.2382,-0.0265,0.242
0.208289,-0.1168,0.1970,0.0490,0.234
0.214933,-0.0782,0.1422,0.0825,0.182
0.225387,0.0560,0.0739,0.1150,0.148
0.235649,0.1086,0.0873,0.0513,0.149
0.245579,-0.0428,0.2506,0.0415,0.258
0.255325,-0.1664,0.2096,0.0583,0.274
0.265326,-0.0710,0.1413,-0.0486,0.165
0.276490,0.0661,0.0867,-0.1022,0.149
0.285609,-0.0817,0.1409,-0.1424,0.216
0.295547,-0.1736,0.1950,-0.2365,0.352
0.305356,-0.2637,0.1808,-0.3434,0.469
0.315139,-0.3650,0.2072,-0.3815,0.567
0.325213,-0.3418,0.2879,-0.2835,0.529
0.335846,-0.2088,0.3003,-0.2382,0.436
0.345617,-0.0346,0.2170,-0.1485,0.265
0.357087,0.1527,0.1470,0.0397,0.216
0.365478,0.2433,0.0636,0.2554,0.358
0.374875,0.2508,0.0213,0.3875,0.462
0.386751,0.1485,0.0745,0.4081,0.441
0.395169,0.1539,0.1145,0.2361,0.304
0.409862,0.1574,0.0729,-0.0459,0.179
0.415305,0.0769,0.0998,-0.2193,0.253
0.425314,0.0484,0.1269,-0.1350,0.192
0.435648,-0.0099,0.1408,0.0286,0.144
0.446074,-0.1921,0.1688,0.1343,0.289
0.455113,-0.3465,0.2243,0.1550,0.441
0.465348,-0.4311,0.2798,0.1327,0.531
0.474873,-0.5003,0.2534,0.0151,0.561
0.487738,-0.5149,0.2813,-0.1279,0.601
0.495659,-0.4988,0.2813,-0.3085,0.650
0.505953,-0.2992,0.3214,-0.4314,0.616
0.515451,-0.0527,0.3472,-0.4847,0.599
0.525905,0.2237,0.3454,-0.3736,0.556
0.535516,0.4849,0.3025,-0.2321,0.617
0.545765,0.6067,0.2597,-0.0598,0.663
0.554787,0.5757,0.1897,0.0057,0.606
0.566164,0.3929,0.1606,-0.0362,0.426
0.576478,0.1135,0.1723,-0.1447,0.252
0.587070,-0.0468,0.2659,-0.2107,0.343
0.596058,-0.0081,0.3190,-0.2754,0.422
0.606565,0.1603,0.2502,-0.2712,0.402
0.615673,0.1999,0.2909,-0.1587,0.387
0.625176,0.1809,0.3321,0.1559,0.409
0.636803,0.1202,0.2919,0.3729,0.489
0.646021,-0.0064,0.2516,0.5338,0.590
0.656140,-0.2102,0.2112,0.6089,0.678
0.665593,-0.3682,0.1982,0.5687,0.706
0.675653,-0.4136,0.1720,0.4536,0.637
0.685623,-0.2947,0.2143,0.2788,0.459
0.696263,-0.0771,0.2566,0.1147,0.291
0.707297,0.1450,0.2714,0.0716,0.316
0.715628,0.2869,0.3542,0.1088,0.469
0.725525,0.4007,0.4510,0.2663,0.659
0.736645,0.5263,0.3983,0.5294,0.846
0.745609,0.5818,0.1963,0.8432,1.043
0.755437,0.5404,-0.1008,0.9491,1.097
0.766105,0.5533,-0.3840,0.9570,1.170
0.775356,0.5772,-0.5717,0.8409,1.169
0.785850,0.5533,-0.6363,0.6564,1.069
0.796219,0.3565,-0.6186,0.3369,0.789
0.805882,0.0580,-0.4508,0.0058,0.455
0.816417,-0.2285,-0.2695,-0.3362,0.488
0.825303,-0.2818,-0.0752,-0.4847,0.566
0.836800,-0.2094,0.0778,-0.5351,0.580
0.845336,-0.0387,0.2167,-0.5832,0.623
0.855249,0.1618,0.3006,-0.5454,0.643
