time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002246,-0.1396,0.2582,0.0540,0.298
0.006456,-0.0454,0.1492,0.1637,0.226
0.024497,-0.0192,0.1356,0.0417,0.143
0.025265,-0.1283,0.1083,-0.1620,0.233
0.035688,-0.0180,0.0809,-0.2835,0.295
0.044266,-0.0431,0.1353,-0.2681,0.303
0.054107,-0.0539,0.1623,-0.2107,0.271
0.067283,-0.1045,0.1892,-0.2064,0.299
0.075774,-0.1673,0.2432,-0.1462,0.329
0.085121,-0.1203,0.2426,-0.1117,0.293
0.093923,0.0627,0.2010,-0.0760,0.224
0.103976,-0.0952,0.2411,0.0685,0.268
0.115370,-0.0358,0.1587,0.0357,0.167
0.123848,0.0638,0.0490,0.0443,0.092
0.134047,0.0268,0.0892,0.1610,0.186
0.143565,-0.0243,0.0478,0.1129,0.125
0.153615,-0.0621,0.1699,0.0768,0.197
0.172322,-0.0729,0.1968,-0.0555,0.217
0.174291,-0.0568,0.2374,-0.1339,0.278
0.184188,0.0136,0.2644,-0.1181,0.290
0.194056,0.0564,0.2643,-0.0627,0.277
0.205040,0.0713,0.2234,-0.0219,0.236
0.213961,0.0856,0.2098,-0.0629,0.235
0.224819,0.0177,0.1689,-0.0625,0.181
0.237623,-0.0642,0.1280,-0.0208,0.145
0.244634,-0.1595,0.1007,0.0755,0.203
0.254281,-0.2268,0.1006,0.1445,0.287
0.263988,-0.3483,0.1141,0.1182,0.385
0.274660,-0.4286,0.1276,0.0104,0.447
0.288749,-0.4928,0.2364,-0.1105,0.558
0.293996,-0.4025,0.2905,-0.1629,0.522
0.304007,-0.2800,0.3038,-0.1741,0.448
0.316205,-0.1137,0.2624,-0.1850,0.341
0.324047,-0.0150,0.2346,-0.0594,0.242
0.336140,-0.0117,0.1795,0.0933,0.203
0.345161,-0.0632,0.1244,0.2591,0.294
0.355019,-0.1285,0.1239,0.3292,0.375
0.366290,-0.1942,0.1234,0.2624,0.349
0.374672,-0.1518,0.2047,0.1944,0.321
0.384968,-0.0566,0.2453,0.1387,0.287
0.394846,0.0501,0.2724,0.0545,0.282
0.405229,0.3319,0.2179,-0.0441,0.400
0.423484,0.5457,0.1773,-0.1871,0.604
0.435545,0.6762,0.1233,-0.2444,0.730
0.444142,0.5811,0.1511,-0.1242,0.613
0.453660,0.4395,0.1655,0.1462,0.492
0.466707,0.2951,0.1390,0.3349,0.468
0.474057,0.0549,0.0580,0.4148,0.422
0.483886,-0.1568,0.0041,0.4671,0.493
0.493605,-0.3253,-0.0088,0.4231,0.534
0.503555,-0.3957,0.0327,0.2008,0.445
0.515639,-0.3680,0.1423,0.0185,0.395
0.523668,-0.2020,0.2792,0.0397,0.347
0.535317,-0.0210,0.3753,0.1137,0.393
0.543737,0.0816,0.4171,0.2805,0.509
0.553950,0.1886,0.3502,0.5382,0.669
0.566115,0.2857,0.2564,0.8309,0.915
0.574317,0.5064,0.1085,0.8460,0.992
0.584091,0.7254,-0.0120,0.6807,0.995
0.593671,0.9280,-0.1189,0.3384,0.995
0.603628,1.0476,-0.0899,-0.0010,1.051
0.616652,1.1646,-0.0476,-0.3764,1.225
0.623548,1.2163,0.0081,-0.8957,1.511
0.634966,1.1960,0.0633,-1.3393,1.797
