time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001343,0.0529,0.1485,-0.0413,0.163
0.001783,-0.0310,0.1759,-0.0287,0.181
0.008770,-0.1008,0.1761,-0.0298,0.205
0.018857,-0.0608,0.1898,0.0105,0.200
0.029310,0.0077,0.1762,0.0239,0.178
0.038515,0.0359,0.1761,-0.0578,0.189
0.049974,0.0767,0.1489,-0.0441,0.173
0.059753,0.0899,0.1625,-0.0302,0.188
0.068114,0.0616,0.1626,-0.0292,0.176
0.078500,0.0061,0.2035,-0.0002,0.204
0.087866,-0.0493,0.2171,0.0154,0.223
0.097906,-0.0501,0.2035,0.0580,0.217
0.110771,-0.0371,0.1626,0.0457,0.173
0.118604,-0.0376,0.1490,0.0193,0.155
0.131333,0.0168,0.1218,-0.0073,0.123
0.139242,0.0305,0.1626,-0.0885,0.188
0.148896,0.0306,0.2034,-0.0877,0.224
0.161324,0.0444,0.2306,-0.0868,0.250
0.168809,0.0446,0.2033,-0.0720,0.220
0.178941,0.0315,0.2032,-0.0161,0.206
0.189688,0.0185,0.1214,0.0127,0.123
0.198863,0.0057,0.1213,0.0414,0.128
0.214613,-0.0208,0.1348,0.0292,0.139
0.219713,-0.0202,0.1755,0.0306,0.179
0.233036,-0.0198,0.2163,0.0184,0.218
0.245829,-0.0193,0.2026,0.0200,0.204
0.249683,0.0355,0.1889,0.0350,0.195
0.260464,0.0494,0.1616,0.0089,0.169
0.282999,0.0765,0.1479,-0.0166,0.167
0.287776,0.0759,0.1479,-0.0298,0.169
0.298814,0.0479,0.1616,-0.0160,0.169
0.309659,0.0333,0.1753,-0.0161,0.179
0.318743,-0.0084,0.1754,-0.0297,0.178
0.327712,0.0043,0.1891,-0.0431,0.194
0.338947,-0.0238,0.1891,-0.0563,0.199
0.347794,-0.0110,0.1620,-0.0558,0.172
0.357995,0.0017,0.1756,-0.0412,0.180
0.368471,0.0009,0.1756,0.0152,0.176
0.378442,0.0274,0.1484,0.0310,0.154
0.388570,0.0131,0.1620,0.0738,0.178
0.398351,-0.0010,0.1483,0.0479,0.156
0.410108,-0.0283,0.1755,0.0082,0.178
0.419003,-0.0277,0.2027,-0.0182,0.205
0.431372,-0.0400,0.1753,-0.0445,0.185
0.438497,-0.0245,0.1479,-0.0437,0.156
0.448744,-0.0494,0.1749,-0.0429,0.187
0.458095,-0.0198,0.1610,-0.0286,0.165
0.468910,-0.0040,0.2017,0.0401,0.206
0.477997,0.0115,0.2423,0.0270,0.244
0.488863,-0.0138,0.2285,0.0409,0.233
0.498743,-0.0118,0.1603,-0.0269,0.163
0.508527,0.0039,0.1465,-0.0538,0.156
0.518680,0.0466,0.1463,-0.0399,0.159
0.527875,0.0754,0.1597,0.0150,0.177
0.538960,0.0768,0.1732,0.1107,0.219
0.547993,0.0643,0.1731,0.1246,0.223
0.560423,0.0648,0.1595,0.0293,0.175
0.568147,0.0376,0.1731,-0.0388,0.181
0.578035,0.0636,0.1868,-0.1071,0.225
0.588408,0.0616,0.1870,-0.1071,0.224
0.600722,0.0590,0.1872,-0.0797,0.212
0.615041,0.0561,0.1466,-0.0247,0.159
0.618155,0.0530,0.1332,0.0576,0.154
0.631633,0.0361,0.1335,0.0853,0.162
0.637821,0.0194,0.1337,0.1400,0.195
0.648152,-0.0241,0.1476,0.1399,0.205
0.658172,-0.0670,0.1477,0.1126,0.197
0.668337,-0.0551,0.1615,0.0170,0.172
0.678740,-0.0973,0.1889,-0.0377,0.216
0.688910,-0.0161,0.2026,-0.0653,0.213
0.698592,0.0253,0.1889,-0.0386,0.194
0.708260,0.0265,0.1752,0.0012,0.177
0.718759,0.0009,0.1343,-0.0004,0.134
0.728334,-0.0106,0.1478,0.0655,0.162
0.738516,-0.0218,0.1613,0.0631,0.175
0.748463,-0.0191,0.1612,0.0608,0.173
0.758816,0.0244,0.1610,0.0180,0.164
0.768501,0.0402,0.1881,0.0166,0.193
0.777704,0.0555,0.1880,-0.0118,0.196
0.787842,0.0840,0.1880,-0.0671,0.217
0.799283,0.0169,0.2151,-0.1083,0.241
0.813900,-0.0232,0.2014,-0.0806,0.218
0.817923,-0.0499,0.1741,-0.0251,0.183
0.828432,-0.0358,0.1604,0.0170,0.165
0.839335,-0.0081,0.1603,0.0723,0.176
0.848980,0.0331,0.1603,0.0322,0.167
0.858956,0.0604,0.1738,0.0329,0.187
0.868386,0.0330,0.1738,0.0201,0.178
0.877841,0.0055,0.1874,0.0073,0.188
0.888681,0.0053,0.1466,0.0218,0.148
0.898595,-0.0220,0.1738,-0.0046,0.175
0.913725,-0.0220,0.1465,-0.0447,0.155
0.918760,-0.0355,0.1737,-0.0441,0.183
0.932418,-0.0349,0.1873,-0.0709,0.203
0.938721,-0.0202,0.2008,-0.0433,0.206
0.948302,-0.0053,0.1734,-0.0020,0.174
0.960245,0.0773,0.1597,0.0121,0.178
0.968459,0.0642,0.1324,0.0399,0.152
0.978381,0.0783,0.1459,0.0269,0.168
0.988279,0.0785,0.1459,0.0005,0.166
0.999956,0.0379,0.1731,-0.0529,0.185
1.015152,0.0651,0.1866,-0.0784,0.213
1.019187,0.0375,0.2002,-0.0625,0.213
1.029475,-0.0042,0.2002,-0.0327,0.203
1.039236,-0.0325,0.1729,-0.0168,0.177
1.051867,0.0070,0.1593,0.0259,0.162
1.063079,0.0191,0.1458,0.0954,0.175
1.070751,0.0039,0.1459,0.1375,0.200
1.089441,0.0286,0.1325,0.1377,0.193
1.099541,0.0685,0.1599,0.0815,0.192
1.109124,0.0540,0.1873,0.0111,0.195
1.117941,0.0396,0.2147,0.0083,0.218
1.128459,0.0253,0.2149,-0.0356,0.219
1.138937,-0.0161,0.1878,-0.0250,0.190
1.147811,-0.0164,0.1743,0.0397,0.180
1.161357,-0.0167,0.1881,0.0632,0.199
1.168178,-0.0304,0.1338,0.0864,0.162
1.179457,-0.0032,0.1203,0.0689,0.139
1.189094,0.0241,0.1477,0.0520,0.158
1.198721,0.0106,0.1478,0.0220,0.150
1.215580,0.0651,0.1751,0.0333,0.190
1.219304,0.0651,0.1616,0.1129,0.208
1.228612,0.0514,0.1753,0.0974,0.207
1.240257,0.0241,0.1481,-0.0405,0.155
1.249662,0.0105,0.1345,-0.0965,0.166
1.262008,0.0513,0.1754,-0.1930,0.266
1.269762,0.0511,0.2163,-0.1662,0.278
1.278860,0.0777,0.2300,-0.1114,0.267
1.289340,0.0767,0.1756,-0.0016,0.192
1.299274,0.0480,0.1484,0.0678,0.170
1.313530,0.0460,0.1349,0.0966,0.172
1.319589,0.0028,0.1759,0.1251,0.216
1.328494,-0.0265,0.1761,0.1124,0.211
1.338306,0.0127,0.1898,0.0995,0.215
1.348598,0.0385,0.1899,0.0593,0.203
1.360700,0.0100,0.1764,0.0463,0.183
