time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001179,-0.1687,0.2885,0.0615,0.340
0.005882,-0.1495,0.3019,0.0465,0.340
0.016553,-0.0744,0.2335,0.0038,0.245
0.026474,0.0007,0.1651,-0.0798,0.183
0.046931,0.0885,0.1511,-0.1901,0.258
0.047562,0.1478,0.1917,-0.2317,0.335
0.056909,0.1245,0.1779,-0.2048,0.298
0.065384,0.0995,0.1368,-0.2176,0.276
0.075557,0.0059,0.1500,-0.2819,0.319
0.085559,0.0072,0.2037,-0.3149,0.375
0.095129,0.0760,0.2028,-0.2220,0.310
0.105793,0.0892,0.1745,-0.0998,0.220
0.115928,0.1417,0.1463,0.0088,0.204
0.127664,0.0972,0.1455,0.0893,0.196
0.136234,0.0919,0.1585,0.1006,0.209
0.146044,0.0181,0.1444,0.0832,0.168
0.156802,-0.0415,0.1712,0.0509,0.183
0.166301,-0.0863,0.1844,0.0585,0.212
0.178697,-0.0889,0.1704,0.0375,0.196
0.185721,-0.1179,0.1973,-0.0397,0.233
0.195401,-0.0105,0.1563,-0.0237,0.158
0.206374,0.0293,0.1972,-0.1185,0.232
0.215722,0.1512,0.1973,-0.0920,0.265
0.225348,0.2050,0.2111,-0.1063,0.313
0.236087,0.1905,0.2111,-0.1062,0.304
0.245696,0.0670,0.2111,-0.0919,0.240
0.259148,-0.0291,0.1838,-0.0363,0.190
0.265763,-0.0978,0.1429,0.0058,0.173
0.275703,-0.0712,0.1019,0.0216,0.126
0.285918,0.0100,0.0879,-0.0155,0.090
0.295406,-0.0314,0.1147,-0.0781,0.142
0.305779,-0.0321,0.2231,-0.0991,0.246
0.315559,-0.0600,0.2770,-0.1059,0.303
0.325407,-0.0470,0.3037,-0.1401,0.338
0.336191,0.0070,0.2895,-0.1334,0.319
0.345255,0.0339,0.2344,-0.1133,0.263
0.356985,0.0747,0.1929,-0.0935,0.227
0.366190,0.1296,0.1242,-0.0740,0.194
0.375753,0.1164,0.0691,-0.0682,0.152
0.386302,0.0893,0.1366,-0.1572,0.227
0.395429,0.0481,0.2312,-0.2179,0.321
0.406767,-0.0885,0.3121,-0.2768,0.426
0.416397,-0.1704,0.2974,-0.2252,0.410
0.426580,-0.1839,0.2689,-0.1725,0.369
0.440228,-0.1561,0.2677,-0.0788,0.320
0.445865,-0.0600,0.2256,-0.0537,0.240
0.456373,-0.2085,0.3742,-0.0295,0.429
0.465987,0.3649,0.3731,0.1704,0.549
0.476498,0.2162,0.2223,-0.1614,0.350
0.486586,0.2849,0.0169,-0.3567,0.457
0.496361,0.1218,0.2338,-0.0478,0.268
0.507293,0.0268,0.2465,0.1244,0.277
0.527705,0.0406,0.0269,-0.0108,0.050
0.536525,0.0801,0.0400,0.0086,0.090
0.546235,0.0092,0.1758,0.1904,0.259
0.556464,0.0729,0.2573,0.2491,0.366
0.566178,-0.1089,0.2029,0.2379,0.331
0.575805,0.0081,0.2850,0.2238,0.362
0.586051,-0.0239,0.2720,0.1124,0.295
0.595307,0.0539,0.2182,0.0267,0.226
0.607887,0.0235,0.1782,0.0342,0.183
0.616389,-0.1018,0.1247,0.1357,0.211
0.626348,-0.2255,0.0713,0.2773,0.364
0.636556,-0.3873,0.0586,0.3762,0.543
0.646244,-0.4496,0.0596,0.3779,0.590
0.656351,-0.4795,0.1012,0.3372,0.595
0.665754,-0.5050,0.1698,0.3229,0.623
0.676570,-0.4992,0.2109,0.2948,0.617
0.685522,-0.2877,0.2246,0.3348,0.495
0.695226,-0.1171,0.2247,0.4285,0.498
0.706917,-0.0426,0.1978,0.5743,0.609
0.715114,-0.0232,0.2121,0.7565,0.786
0.727303,-0.0586,0.2542,0.9189,0.955
0.735248,0.0004,0.2832,0.9523,0.994
0.745385,0.0850,0.2309,0.8176,0.854
0.756648,0.2082,0.1515,0.5856,0.640
0.766220,0.2208,0.0449,0.5575,0.601
0.775250,0.1086,0.0336,0.7052,0.714
0.785368,-0.0477,0.0772,0.9589,0.963
0.795743,-0.1259,0.1483,1.0992,1.116
0.807163,-0.1662,0.1925,1.0309,1.062
0.815525,-0.0992,0.1685,0.7832,0.807
0.825201,-0.0191,0.1305,0.5360,0.552
0.836120,0.0472,0.0922,0.4004,0.414
0.846327,0.1131,-0.0011,0.2290,0.255
0.857022,0.2330,-0.0130,0.0502,0.239
0.866027,0.3928,0.0156,-0.1906,0.437
0.875451,0.6329,-0.0240,-0.4806,0.795
0.885436,0.8708,0.0453,-0.7259,1.135
0.895235,1.1588,0.1285,-0.8026,1.415
0.908373,1.4532,0.1303,-0.9096,1.719
0.915173,1.5332,0.0780,-0.9455,1.803
0.927543,1.3025,0.0669,-0.8152,1.538
0.935190,0.8180,0.0696,-0.6047,1.020
0.948154,0.4511,0.0448,-0.4417,0.633
0.957167,0.0697,0.1285,-0.2755,0.312
0.965258,-0.2273,0.2114,-0.2039,0.371
0.976346,-0.3698,0.3210,-0.2011,0.529
0.986003,-0.3163,0.3210,-0.2412,0.511
0.996366,-0.1352,0.2117,-0.3251,0.411
1.006665,0.1045,0.1158,-0.2768,0.318
1.015957,0.3477,0.0334,-0.1647,0.386
1.025137,0.5280,0.0190,0.0242,0.529
1.035769,0.7010,0.0455,0.1274,0.714
1.045664,0.7164,0.0991,0.1464,0.738
1.055817,0.4761,0.2211,0.2008,0.562
1.065693,0.2643,0.3570,0.1803,0.479
1.075206,0.0116,0.5070,0.1814,0.539
1.085892,0.0033,0.5482,0.2063,0.586
1.095956,0.0900,0.5759,0.2560,0.637
1.107520,0.2448,0.4813,0.4255,0.687
1.115345,0.4096,0.3325,0.7400,0.909
1.125859,0.4185,0.1706,0.9395,1.043
1.136977,0.2731,0.0363,1.0779,1.113
1.146680,0.0187,-0.0297,1.0600,1.061
1.156949,-0.2860,-0.0138,0.9818,1.023
1.166506,-0.5712,0.0565,0.7630,0.955
1.175581,-0.8249,0.0859,0.4873,0.962
1.186558,-1.0363,0.1694,0.2796,1.087
1.195611,-1.0767,0.1982,0.1411,1.104
1.208017,-0.9816,0.2267,0.2084,1.029
1.216876,-0.8318,0.2274,0.2910,0.910
1.226477,-0.5900,0.2277,0.2942,0.698
1.238043,-0.4103,0.1867,0.2733,0.527
1.246301,-0.2683,0.1724,0.2831,0.426
1.257992,-0.1527,0.1306,0.2965,0.358
1.266735,-0.0931,0.0203,0.2991,0.314
1.276711,-0.0236,-0.0492,0.3452,0.349
1.287657,-0.0001,-0.2005,0.2852,0.349
1.297289,0.0177,-0.4334,0.2006,0.478
1.307100,-0.1737,-0.6390,0.2538,0.709
1.318125,-0.5052,-0.7763,0.2939,0.972
