time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003489,-0.0632,0.0766,0.0960,0.138
0.013846,-0.0074,0.0590,0.1244,0.138
0.023655,0.0208,0.0286,0.1252,0.130
0.035585,-0.0056,0.0125,0.0714,0.073
0.046868,-0.0179,0.0512,0.1266,0.138
0.056087,-0.0163,0.0629,0.1137,0.131
0.063591,-0.0549,0.0475,0.0465,0.086
0.073506,-0.0656,0.0459,-0.0070,0.080
0.083468,-0.0625,0.0037,-0.0197,0.066
0.094748,-0.0595,-0.0110,-0.0733,0.095
0.103296,-0.0163,-0.0257,-0.0316,0.044
0.113441,-0.0417,-0.0268,0.0507,0.071
0.123241,-0.0535,-0.0141,0.1058,0.119
0.133155,-0.0927,-0.0010,0.0926,0.131
0.145260,-0.1184,0.0124,0.1339,0.179
0.153195,-0.1033,-0.0013,0.1070,0.149
0.163834,-0.0880,0.0261,0.0257,0.095
0.173153,-0.0722,0.0398,0.0261,0.086
0.183325,-0.0285,-0.0007,0.0540,0.061
0.195645,-0.0116,-0.0002,0.0818,0.083
0.203144,0.0052,0.0141,0.0961,0.097
0.213554,-0.0327,0.0012,0.1102,0.115
0.223329,-0.0570,-0.0117,0.0835,0.102
0.233207,-0.0678,-0.0109,0.0704,0.098
0.246211,-0.0515,0.0171,0.0436,0.070
0.253579,-0.0219,0.0042,0.0303,0.038
0.265326,-0.0062,0.0184,0.0443,0.048
0.273261,-0.0178,0.0052,0.0311,0.036
0.283267,-0.0162,0.0056,0.0586,0.061
0.293879,-0.0286,0.0195,0.0588,0.068
0.303303,-0.0685,0.0062,0.0590,0.091
0.313252,-0.0540,0.0065,0.0455,0.071
0.323262,-0.0529,0.0067,0.0593,0.080
0.333402,-0.0515,0.0069,0.0324,0.061
0.345209,-0.0638,-0.0202,0.0463,0.081
0.353213,-0.0624,-0.0065,0.0602,0.087
0.363457,-0.0474,0.0073,0.0468,0.067
0.373172,-0.0184,0.0075,0.0880,0.090
0.385277,-0.0029,-0.0057,0.0611,0.061
0.393927,-0.0146,-0.0053,0.0751,0.077
0.403249,0.0008,0.0089,0.0482,0.049
0.413268,0.0024,-0.0177,0.0348,0.039
0.423364,-0.0370,-0.0032,0.0213,0.043
0.434846,-0.0358,-0.0159,-0.0603,0.072
0.448353,-0.0074,-0.0013,-0.0194,0.021
0.453746,-0.0200,0.0133,0.0624,0.067
0.463137,-0.0191,0.0276,0.1033,0.109
0.473252,-0.0184,0.0010,0.1987,0.200
0.483694,-0.0317,-0.0121,0.0624,0.071
0.493792,-0.0313,0.0157,-0.0465,0.058
0.503161,0.0100,0.0024,-0.0193,0.022
0.514134,-0.0304,0.0027,0.1170,0.121
0.523217,-0.0436,0.0439,0.2396,0.247
0.533137,0.0249,-0.0238,0.1579,0.162
0.545448,0.0252,-0.0099,0.0761,0.081
0.553028,-0.0156,-0.0367,0.0488,0.063
0.563206,-0.0019,-0.0634,-0.0194,0.066
0.573075,-0.0292,-0.0354,-0.0604,0.076
0.583167,-0.0701,-0.0208,0.0484,0.088
0.595072,-0.0564,-0.0603,0.1162,0.143
0.603334,-0.0290,-0.0177,0.1296,0.134
0.613521,-0.0290,0.0117,0.1019,0.107
0.623335,0.0119,0.0275,0.0742,0.080
0.633938,0.0662,0.0838,0.0602,0.123
0.645348,0.0526,0.0717,0.0463,0.100
0.653729,0.0389,0.0727,0.0597,0.102
0.663958,0.0523,0.0464,0.0459,0.084
0.673946,-0.0025,0.0199,0.0320,0.038
0.684087,-0.0302,0.0066,0.0319,0.044
0.694359,-0.0445,0.0063,0.0454,0.064
0.704286,-0.0317,0.0192,0.0726,0.082
0.714669,-0.0328,0.0044,0.0590,0.068
0.724716,-0.0338,0.0163,0.0454,0.059
0.734839,-0.0347,0.0010,0.0183,0.039
0.753265,-0.0221,-0.0423,0.0186,0.051
0.763495,-0.0359,-0.0156,0.0459,0.060
0.773205,-0.0360,-0.0026,0.0732,0.082
0.783254,-0.0630,-0.0028,0.1278,0.143
0.794083,-0.0486,0.0111,0.0598,0.078
0.803268,-0.0200,0.0119,-0.0081,0.025
0.813285,-0.0182,-0.0142,-0.0488,0.054
0.823084,-0.0300,0.0007,-0.0487,0.057
0.834353,-0.0553,-0.0253,-0.0485,0.078
0.845682,-0.0803,-0.0376,0.0063,0.089
0.853453,-0.0914,-0.0363,0.0474,0.109
0.863504,-0.1022,-0.0484,0.0750,0.136
0.873268,-0.0719,-0.0062,0.0890,0.115
0.883322,-0.0686,0.0223,0.0759,0.105
0.895126,-0.0244,0.0371,0.0355,0.057
0.903354,-0.0077,0.0108,0.0360,0.038
0.913334,0.0494,-0.0020,0.0364,0.061
0.923403,0.0381,0.0259,0.0095,0.047
0.933673,0.0400,0.0129,0.0779,0.089
0.947375,0.0008,-0.0138,0.0782,0.079
0.953259,-0.0114,0.0004,0.1193,0.120
0.964177,-0.0375,-0.0126,0.0785,0.088
0.973248,0.0039,-0.0257,0.0241,0.035
0.983219,0.0038,-0.0114,0.0375,0.039
0.994161,0.0303,-0.0244,0.0509,0.064
1.003370,0.0288,-0.0511,0.0641,0.087
1.013307,0.0406,-0.0369,0.0635,0.084
1.023378,0.0112,-0.0361,0.0493,0.062
1.033238,0.0092,-0.0213,0.0350,0.042
1.046056,-0.0196,-0.0198,0.0343,0.044
1.053250,-0.0345,-0.0313,0.0200,0.051
1.063179,0.0054,-0.0289,0.0193,0.035
1.073248,0.0046,-0.0398,0.0186,0.044
1.083308,-0.0233,-0.0505,0.0451,0.072
1.094475,-0.0239,-0.0069,0.0445,0.051
1.103262,-0.0107,-0.0179,0.0575,0.061
1.113263,-0.0110,-0.0019,0.0569,0.058
1.123244,0.0160,0.0002,0.0565,0.059
1.133323,0.0022,-0.0115,0.0424,0.044
1.147247,0.0158,-0.0235,0.0557,0.062
1.153314,-0.0115,-0.0083,0.0554,0.057
1.163171,0.0021,-0.0205,0.0142,0.025
1.173481,0.0020,-0.0462,-0.0678,0.082
1.183608,0.0155,-0.0176,-0.0273,0.036
1.194602,0.0425,-0.0163,-0.0140,0.048
1.203619,0.0423,-0.0286,0.0538,0.074
1.214906,0.0011,-0.0408,0.1897,0.194
1.223877,-0.0539,-0.0121,0.0803,0.097
1.233968,-0.0273,-0.0106,0.0117,0.032
1.246031,-0.0007,0.0046,0.1884,0.188
1.253753,0.0257,-0.0074,0.2968,0.298
1.264042,0.0382,0.0216,0.2553,0.259
1.273937,0.0501,-0.0445,0.0639,0.093
1.283636,-0.0061,-0.0696,-0.1276,0.145
1.317009,-0.0076,-0.0947,-0.1556,0.182
1.317404,-0.0226,-0.1193,-0.1156,0.168
1.317608,-0.0100,-0.1433,-0.0892,0.169
1.323470,0.0164,-0.0850,0.0732,0.113
1.334202,0.0157,-0.0535,0.1267,0.138
1.347237,0.0422,-0.0354,0.1256,0.137
1.353757,0.0685,0.0369,0.1109,0.135
1.363556,0.1080,0.0814,0.0826,0.158
1.373471,0.1332,0.0843,0.0680,0.172
1.383750,0.0764,0.0866,0.0261,0.118
1.394353,0.0872,0.0473,0.0251,0.102
1.403760,0.0837,0.0214,-0.0031,0.086
