time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012478,-0.0014,0.2664,0.1054,0.287
0.012924,-0.1108,0.3338,0.0660,0.358
0.016105,-0.0839,0.2920,0.0542,0.309
0.026174,0.0245,0.0868,0.1104,0.143
0.037162,0.0512,-0.1181,0.1933,0.232
0.047065,0.0508,-0.2137,0.3300,0.396
0.056268,-0.0040,-0.1316,0.3700,0.393
0.066732,-0.0724,-0.0076,0.3123,0.321
0.076241,-0.1546,0.1312,0.1161,0.234
0.086910,-0.1821,0.2428,-0.0532,0.308
0.097102,-0.1138,0.3133,-0.2081,0.393
0.107335,-0.0039,0.3424,-0.1845,0.389
0.117552,0.0791,0.3301,-0.1325,0.364
0.133101,0.1073,0.1813,-0.0120,0.211
0.136686,0.0398,0.0325,0.0814,0.096
0.147378,-0.0550,-0.0484,0.1342,0.153
0.158781,-0.1494,0.0068,0.1194,0.191
0.166229,-0.1886,0.1023,0.0923,0.234
0.176184,-0.1046,0.1834,0.0534,0.218
0.190139,-0.0340,0.2366,0.0433,0.243
0.196123,0.0093,0.2621,0.0203,0.263
0.206165,0.0657,0.2604,0.0111,0.269
0.216701,0.1078,0.2042,0.0151,0.231
0.226378,0.1086,0.1618,-0.0224,0.196
0.239826,0.0683,0.1198,-0.0196,0.139
0.246593,0.0276,0.0779,0.0779,0.114
0.259048,-0.0134,0.0772,0.1202,0.143
0.266813,-0.0547,0.0904,0.1482,0.182
0.278265,-0.0692,0.1446,0.1485,0.219
0.290977,-0.0842,0.1580,0.1215,0.216
0.297843,-0.0723,0.1848,0.0129,0.199
0.312340,-0.0197,0.1843,-0.0409,0.190
0.317418,-0.0214,0.1564,-0.0809,0.177
0.326303,-0.0092,0.1559,-0.0939,0.182
0.337352,-0.0238,0.1553,-0.0385,0.162
0.348903,-0.0381,0.1410,0.0446,0.153
0.361130,-0.0249,0.1131,0.1004,0.153
0.367015,-0.0383,0.1261,0.1289,0.184
0.376334,-0.0508,0.0985,0.1436,0.181
0.390326,-0.0354,0.1119,0.1310,0.176
0.397919,-0.0336,0.1253,0.1321,0.185
0.407638,-0.0457,0.1250,0.1195,0.179
0.416967,-0.0444,0.1656,0.0795,0.189
0.426311,-0.0432,0.1790,0.0803,0.201
0.437046,-0.0285,0.1653,0.0400,0.172
0.447393,0.0133,0.1518,-0.0008,0.152
0.461439,-0.0132,0.1249,-0.0014,0.126
0.467679,0.0012,0.0981,-0.0158,0.099
0.478064,0.0154,0.0984,-0.0300,0.104
0.490350,-0.0114,0.1122,0.0107,0.113
0.496439,0.0026,0.1258,0.0381,0.131
0.506704,-0.0380,0.0168,0.0791,0.089
0.516342,-0.0921,-0.0377,0.1200,0.156
0.526353,-0.1324,-0.0376,0.0928,0.166
0.540424,-0.1315,-0.0102,0.0383,0.137
0.546604,-0.0624,0.0307,-0.0159,0.071
0.561140,-0.0476,0.0987,-0.0291,0.113
0.566615,-0.0732,0.1803,-0.0421,0.199
0.576700,-0.1252,0.2483,-0.0411,0.281
0.589939,-0.1624,0.2754,0.0555,0.325
0.596956,-0.1438,0.3028,0.1792,0.380
0.608351,-0.0836,0.2895,0.1529,0.338
0.618527,0.0175,0.2625,0.0994,0.281
0.628896,0.1041,0.2624,0.0328,0.284
0.641587,0.1891,0.2617,-0.0466,0.326
0.649259,0.2996,0.1922,-0.0975,0.369
0.660610,0.3413,0.0949,-0.1070,0.370
0.677273,0.3770,0.0631,-0.0442,0.385
0.686746,0.3676,0.0196,0.0134,0.368
0.696354,0.4210,0.0303,0.1246,0.440
0.707849,0.3201,0.1496,0.2351,0.424
0.716319,0.1353,0.2007,0.2497,0.348
0.726283,0.0591,0.2111,0.2776,0.354
0.740082,0.0113,0.1537,0.2369,0.283
0.746372,0.0196,0.0832,0.1410,0.165
0.760823,0.0435,0.0544,0.0984,0.121
0.766286,0.0557,0.0946,0.1361,0.175
0.776676,0.0697,0.1359,0.2400,0.284
0.787936,0.0443,0.2057,0.3689,0.425
0.797290,0.0607,0.1816,0.4133,0.456
0.807898,0.0645,0.1585,0.3060,0.351
0.817595,0.0972,0.0676,0.0897,0.149
0.827607,0.0368,0.0169,-0.0702,0.081
0.837734,-0.0354,0.0201,-0.1056,0.113
0.847722,-0.2011,0.0363,-0.0439,0.209
0.858865,-0.3377,0.0932,0.0461,0.353
0.866994,-0.3494,0.1502,0.0960,0.392
0.876151,-0.2502,0.2205,-0.0302,0.335
0.887115,-0.0547,0.2357,-0.2090,0.320
0.897552,0.0592,0.2357,-0.3300,0.410
0.906127,0.0504,0.2336,-0.3785,0.448
0.916320,-0.0400,0.2025,-0.2460,0.321
0.926368,-0.1300,0.1295,-0.0295,0.186
0.940111,-0.1918,0.0569,0.1593,0.256
0.947490,-0.2931,0.0807,0.2780,0.412
0.960411,-0.3790,0.1057,0.2584,0.471
0.966355,-0.4630,0.0908,0.1420,0.493
0.976304,-0.4906,0.0493,0.0795,0.499
0.986344,-0.3538,-0.0056,0.0439,0.357
0.996425,-0.3796,-0.0331,0.0351,0.383
1.007514,-0.3627,0.0626,-0.0014,0.368
1.016307,-0.2487,0.1317,0.0427,0.285
1.026275,-0.0931,0.1610,0.0713,0.199
1.038276,0.0345,0.1911,0.0705,0.207
1.047024,0.0651,0.2080,0.0410,0.222
1.057874,0.0667,0.1839,0.0113,0.196
1.067352,0.0528,0.1183,-0.0040,0.130
1.077034,0.0646,0.0929,-0.0320,0.118
1.089877,0.1155,0.0398,-0.0186,0.124
1.097021,0.1359,-0.0274,-0.0324,0.142
1.106625,0.0975,-0.0406,-0.0190,0.107
1.116952,0.0005,-0.0001,-0.0187,0.019
1.126730,-0.1264,0.1351,0.0777,0.201
1.139097,-0.2670,0.2972,0.1201,0.417
1.147096,-0.2430,0.3641,0.1490,0.462
1.159599,-0.1769,0.3904,0.1233,0.446
1.168173,-0.0690,0.3349,0.0298,0.343
1.176760,-0.0019,0.2793,0.0183,0.280
1.190851,-0.0025,0.1964,0.1296,0.235
1.196768,-0.0429,0.1816,0.2411,0.305
1.207121,-0.0408,0.1262,0.2981,0.326
1.217962,0.0037,0.0715,0.2314,0.242
1.226696,0.0215,0.0313,0.1766,0.181
1.237162,0.0663,0.0192,0.1473,0.163
1.247311,0.0694,0.0213,0.1436,0.161
1.259169,0.0442,0.0238,0.2206,0.226
1.267202,0.0457,0.0129,0.2833,0.287
1.277693,0.0738,0.0023,0.2363,0.248
1.287007,0.1005,0.0059,0.2967,0.313
1.296781,0.0982,0.0513,0.4362,0.450
1.307650,0.0401,0.1251,0.5730,0.588
1.316718,0.0490,0.1179,0.5306,0.546
1.326558,-0.1871,0.0705,0.4189,0.464
1.340857,-0.3131,-0.0039,0.2115,0.378
1.347813,-0.3563,-0.0647,0.0860,0.372
1.372903,-0.3446,-0.0441,0.0565,0.352
1.373581,-0.3175,0.0989,0.0008,0.333
1.383140,-0.2461,0.2414,-0.1075,0.361
1.389747,-0.2117,0.3831,-0.2268,0.493
1.397497,-0.1061,0.3881,-0.3440,0.529
1.410217,0.0279,0.3382,-0.3783,0.508
1.419162,0.1073,0.2323,-0.3413,0.427
1.428615,0.0906,0.1647,-0.2034,0.277
1.440774,0.0324,0.1760,-0.0322,0.182
1.450931,0.0004,0.2531,0.0892,0.268
1.459999,-0.0058,0.3428,0.1717,0.383
1.469342,-0.0268,0.3370,0.2134,0.400
1.487694,0.0077,0.2442,0.2123,0.324
1.496842,0.0892,0.0350,0.1820,0.206
1.506468,0.1541,-0.1190,0.2447,0.313
1.517632,0.1622,-0.2723,0.3463,0.469
1.526871,0.0604,-0.3013,0.4982,0.585
1.537316,-0.0683,-0.2593,0.5487,0.611
1.547709,-0.1548,-0.1051,0.4972,0.531
1.557924,-0.1446,0.0654,0.3992,0.430
1.567157,-0.0926,0.3056,0.2979,0.437
1.576869,0.0416,0.4099,0.1551,0.440
1.587459,0.2032,0.3774,0.0680,0.434
1.597832,0.3510,0.2350,-0.0171,0.423
1.607054,0.4028,0.0780,-0.0188,0.411
1.617192,0.3846,-0.0525,0.0626,0.393
1.626842,0.2417,-0.0749,0.1451,0.292
1.637255,0.1106,-0.0708,0.1745,0.218
1.648692,0.0195,0.0415,0.1915,0.197
1.657738,-0.0038,0.1532,0.2235,0.271
1.668881,-0.0143,0.2504,0.2164,0.331
1.676616,0.0426,0.2921,0.1566,0.334
1.687924,0.1663,0.2922,0.1258,0.359
1.697312,0.2480,0.2372,0.1093,0.360
1.708459,0.2883,0.1140,0.0928,0.324
1.718845,0.1934,0.0320,0.1031,0.221
1.727214,0.0457,0.0048,0.1406,0.148
1.737566,-0.1135,0.0050,0.1918,0.223
1.747212,-0.2571,0.0737,0.2696,0.380
1.758839,-0.3180,0.1159,0.2783,0.438
1.766793,-0.3367,0.1315,0.2585,0.444
1.776959,-0.2844,0.1343,0.2651,0.411
1.787479,-0.1876,0.1377,0.2304,0.327
1.797053,-0.1021,0.0870,0.1819,0.226
1.808087,0.0120,0.0910,0.1470,0.173
1.819157,0.0723,0.0679,0.1256,0.160
1.827378,0.1332,0.0585,0.0905,0.171
1.837998,0.1125,0.0355,0.1233,0.171
1.847902,0.0236,0.0534,0.1288,0.141
1.857351,-0.0930,0.0984,0.1481,0.201
1.867615,-0.2237,0.1703,0.1272,0.309
1.877415,-0.2868,0.2282,0.1479,0.395
1.889964,-0.2143,0.2584,0.1286,0.360
1.897843,-0.1016,0.2882,0.0692,0.313
1.907616,0.0243,0.2903,0.0379,0.294
